Date,Description,Reference_No,Withdrawal,Deposit,Balance
2024-06-03,CAPEX-MACHINERY,CAPEX308028,145849041.56,,8541119435.369981
2024-06-03,PAYROLL-AND-OPERATIONS,PAYROLL666074,695268170.08,,7845851265.289981
2024-06-03,NEFT-SUBSIDIARY-TRANSFER,NEFT911532,,351004534.46,8196855799.749981
2024-06-03,VENDOR-PAYMENT-STEEL,VENDOR532141,625029268.04,,7571826531.709981
2024-06-03,PAYROLL-AND-OPERATIONS,PAYROLL508538,145864379.22,,7425962152.489981
2024-06-03,VENDOR-PAYMENT-STEEL,VENDOR172973,155826236.59,,7270135915.899981
2024-06-04,VENDOR-PAYMENT-STEEL,VENDOR501767,546570666.02,,6723565249.87998
2024-06-04,TAX-OUTFLOW,TAX965315,65575550.59,,6657989699.28998
2024-06-04,PAYROLL-AND-OPERATIONS,PAYROLL889120,488066005.47,,6169923693.81998
2024-06-05,RTGS-DEALER-PAYMENT,RTGS564599,,447837398.6,6617761092.41998
2024-06-05,VENDOR-PAYMENT-STEEL,VENDOR468920,268335906.18,,6349425186.23998
2024-06-05,NEFT-SUBSIDIARY-TRANSFER,NEFT771754,,222769882.74,6572195068.9799795
2024-06-05,PAYROLL-AND-OPERATIONS,PAYROLL315706,708833179.4,,5863361889.57998
2024-06-05,PAYROLL-AND-OPERATIONS,PAYROLL748601,614308752.59,,5249053136.98998
2024-06-06,CAPEX-MACHINERY,CAPEX960553,675384641.62,,4573668495.36998
2024-06-06,CAPEX-MACHINERY,CAPEX701866,76233749.1,,4497434746.2699795
2024-06-06,PAYROLL-AND-OPERATIONS,PAYROLL762104,520868616.31,,3976566129.9599795
2024-06-06,PAYROLL-AND-OPERATIONS,PAYROLL217215,679351955.28,,3297214174.6799793
2024-06-06,CAPEX-MACHINERY,CAPEX850336,601990202.13,,2695223972.549979
2024-06-07,CAPEX-MACHINERY,CAPEX240995,644117891.6,,2051106080.9499793
2024-06-07,NEFT-SUBSIDIARY-TRANSFER,NEFT866460,,219653897.88,2270759978.8299794
2024-06-07,RTGS-DEALER-PAYMENT,RTGS693655,,398992390.5,2669752369.3299794
2024-06-07,NEFT-SUBSIDIARY-TRANSFER,NEFT788212,,398358276.66,3068110645.9899793
2024-06-07,NEFT-SUBSIDIARY-TRANSFER,NEFT147087,,156180017.27,3224290663.2599792
2024-06-08,CAPEX-MACHINERY,CAPEX862284,101040963.03,,3123249700.229979
2024-06-08,VENDOR-PAYMENT-STEEL,VENDOR175768,400355337.62,,2722894362.609979
2024-06-08,RTGS-DEALER-PAYMENT,RTGS100704,,310444372.75,3033338735.359979
2024-06-08,CAPEX-MACHINERY,CAPEX965613,531058534.29,,2502280201.069979
2024-06-08,NEFT-SUBSIDIARY-TRANSFER,NEFT373330,,124917174.86,2627197375.9299793
2024-06-09,NEFT-SUBSIDIARY-TRANSFER,NEFT941159,,194473986.34,2821671362.2699795
2024-06-09,NEFT-SUBSIDIARY-TRANSFER,NEFT121670,,333503651.61,3155175013.8799796
2024-06-09,CAPEX-MACHINERY,CAPEX341396,582195506.86,,2572979507.0199795
2024-06-09,CAPEX-MACHINERY,CAPEX237639,278347935.41,,2294631571.6099796
2024-06-09,TAX-OUTFLOW,TAX348866,578868815.19,,1715762756.4199796
2024-06-10,CAPEX-MACHINERY,CAPEX374507,660709278.03,,1055053478.3899796
2024-06-10,RTGS-DEALER-PAYMENT,RTGS433503,,187235095.85,1242288574.2399795
2024-06-10,CAPEX-MACHINERY,CAPEX300473,403933954.27,,838354619.9699795
2024-06-10,PAYROLL-AND-OPERATIONS,PAYROLL110845,387845016.62,,450509603.3499795
2024-06-10,PAYROLL-AND-OPERATIONS,PAYROLL138724,565160150.5,,-114650547.15002048
2024-06-11,RTGS-DEALER-PAYMENT,RTGS754244,,156067642.81,41417095.65997952
2024-06-12,RTGS-DEALER-PAYMENT,RTGS830300,,192721141.81,234138237.46997952
2024-06-12,PAYROLL-AND-OPERATIONS,PAYROLL963442,247121026.85,,-12982789.38002047
2024-06-12,RTGS-DEALER-PAYMENT,RTGS869388,,145378306.63,132395517.24997953
2024-06-13,CAPEX-MACHINERY,CAPEX113619,736786417.72,,-604390900.4700205
2024-06-13,RTGS-DEALER-PAYMENT,RTGS806378,,281290088.31,-323100812.16002053
2024-06-13,CAPEX-MACHINERY,CAPEX354151,261068541.68,,-584169353.8400205
2024-06-13,RTGS-DEALER-PAYMENT,RTGS773198,,448455082.52,-135714271.32002056
2024-06-14,TAX-OUTFLOW,TAX987536,224278008.82,,-359992280.14002055
2024-06-14,PAYROLL-AND-OPERATIONS,PAYROLL678197,479104491.46,,-839096771.6000205
2024-06-14,PAYROLL-AND-OPERATIONS,PAYROLL242204,190126708.79,,-1029223480.3900205
2024-06-14,CAPEX-MACHINERY,CAPEX191217,768596266.39,,-1797819746.7800205
2024-06-15,CAPEX-MACHINERY,CAPEX890797,319295820.09,,-2117115566.8700204
2024-06-15,PAYROLL-AND-OPERATIONS,PAYROLL136009,194967362.91,,-2312082929.78002
2024-06-15,VENDOR-PAYMENT-STEEL,VENDOR924247,444295347.41,,-2756378277.19002
2024-06-16,TAX-OUTFLOW,TAX750139,779917505.36,,-3536295782.55002
2024-06-17,TAX-OUTFLOW,TAX333280,771027701.63,,-4307323484.18002
2024-06-17,VENDOR-PAYMENT-STEEL,VENDOR243920,493611871.04,,-4800935355.22002
2024-06-18,CAPEX-MACHINERY,CAPEX194328,463827000.99,,-5264762356.21002
2024-06-18,NEFT-SUBSIDIARY-TRANSFER,NEFT713619,,221490463.88,-5043271892.33002
2024-06-18,PAYROLL-AND-OPERATIONS,PAYROLL419984,381248771.43,,-5424520663.76002
2024-06-18,RTGS-DEALER-PAYMENT,RTGS501037,,203328704.78,-5221191958.9800205
